iter	RMSE
0	326246.6688
1	321760.6717
2	318360.6999
3	314362.5652
4	310799.51
5	307749.6839
6	304842.0332
7	302312.2938
8	299960.5257
9	298019.5977
10	296451.2579
11	294636.8088
12	293100.3574
13	291780.6754
14	290422.8735
15	289228.1147
16	288132.0311
17	287240.2433
18	286315.5966
19	285371.1546
20	284628.1666
21	284021.3775
22	283236.3827
23	282716.3702
24	282224.3902
25	281745.257
26	281434.1704
27	280901.8675
28	280467.9834
29	280137.8421
30	279778.9677
31	279392.094
32	279173.9141
33	278888.3223
34	278515.9146
35	278205.4827
36	277993.4129
37	277786.8473
38	277491.2429
39	277317.6443
40	277228.0061
41	277090.5625
42	276891.6664
43	276631.0187
44	276397.8165
45	276105.1093
46	275958.0687
47	275739.3702
48	275544.1279
49	275410.4273
50	275190.7713
51	275055.3892
52	274872.5926
53	274752.3228
54	274601.0221
55	274485.7611
56	274334.9781
57	274157.8429
58	274068.9679
59	273958.0657
60	273814.4257
61	273680.2609
62	273544.4431
63	273489.1229
64	273413.7171
65	273303.3233
66	273197.1163
67	273128.7684
68	273048.7057
69	272973.4698
70	272863.4943
71	272783.0405
72	272724.1684
73	272622.2666
74	272555.9958
75	272498.7399
76	272382.1093
77	272321.5592
78	272092.5538
79	271959.2937
80	271887.6666
81	271834.8417
82	271770.7364
83	271673.459
84	271529.5599
85	271441.2281
86	271282.967
87	271178.0733
88	271111.0684
89	271031.7918
90	270963.2661
91	270876.4114
92	270816.7225
93	270758.0231
94	270713.1143
95	270580.2041
96	270405.4179
97	270291.1084
98	270230.6576
99	270184.6337
100	270142.3032
101	269997.9286
102	269920.9027
103	269830.6015
104	269740.7634
105	269683.7601
106	269619.0804
107	269590.6996
108	269552.6247
109	269490.0958
110	269458.8157
111	269432.2653
112	269374.4215
113	269252.5628
114	269175.3416
115	269067.381
116	269040.4631
117	268973.9983
118	268797.2693
119	268641.0448
120	268605.2978
121	268562.9168
122	268461.6582
123	268430.0118
124	268395.7293
125	268265.1149
126	268213.6607
127	268196.609
128	268181.5214
129	268136.4347
130	268101.8769
131	268058.1519
132	267963.7781
133	267904.307
134	267801.2611
135	267717.8285
136	267688.3421
137	267633.687
138	267601.5096
139	267584.8422
140	267560.3411
141	267469.3696
142	267435.6675
143	267379.8321
144	267325.134
145	267292.4092
146	267249.533
147	267215.9074
148	267151.979
149	267108.6659
150	267073.2484
151	267040.7813
152	267016.4006
153	266959.1095
154	266874.9143
155	266820.4334
156	266796.7016
157	266746.9369
158	266685.376
159	266664.2933
160	266618.9216
161	266545.464
162	266479.0718
163	266447.0378
164	266401.4579
165	266343.5813
166	266204.8262
167	266117.0437
168	266074.7922
169	266033.9853
170	266006.5274
171	265914.5078
172	265872.3399
173	265819.923
174	265784.7526
175	265705.3669
176	265672.4829
177	265606.4408
178	265557.132
179	265507.9734
180	265451.3617
181	265372.3466
182	265340.476
183	265265.9532
184	265225.0019
185	265176.6598
186	265121.2087
187	265099.4517
188	265020.4452
189	264946.9603
190	264913.8183
191	264880.2581
192	264796.4109
193	264763.7718
194	264677.0823
195	264640.8023
196	264601.1244
197	264507.8561
198	264484.5692
199	264442.1329
200	264377.8164
201	264354.9576
202	264327.8228
203	264301.277
204	264244.5092
205	264197.0872
206	264150.7319
207	264128.2751
208	264109.3415
209	264065.6174
210	263975.6625
211	263922.1079
212	263853.2149
213	263828.4586
214	263761.1939
215	263724.403
216	263701.2497
217	263676.7151
218	263657.9767
219	263598.0941
220	263531.0292
221	263475.5161
222	263457.0663
223	263434.5674
224	263408.1501
225	263354.5751
226	263335.147
227	263301.3444
228	263279.267
229	263257.4125
230	263202.7968
231	263156.1769
232	263104.8757
233	263080.3596
234	263057.3107
235	263038.1591
236	263023.2702
237	262975.1397
238	262952.8017
239	262879.0823
240	262852.1657
241	262791.9575
242	262748.9197
243	262730.5173
244	262606.416
245	262564.9188
246	262549.373
247	262479.2363
248	262462.8055
249	262447.3107
250	262381.5599
251	262362.5013
252	262334.3135
253	262285.0003
254	262244.3739
255	262199.0946
256	262164.3476
257	262125.5212
258	262100.6706
259	262087.4641
260	262036.7969
261	261980.7526
262	261941.9742
263	261912.9476
264	261849.9031
265	261825.3754
266	261791.1288
267	261777.2838
268	261745.7323
269	261732.8687
270	261665.734
271	261657.1978
272	261622.1408
273	261586.2146
274	261569.3832
275	261529.3305
276	261485.1231
277	261451.0796
278	261402.4597
279	261368.802
280	261309.4778
281	261248.0518
282	261217.2507
283	261201.6472
284	261148.3413
285	261125.9248
286	261084.3989
287	261049.3826
288	261003.6476
289	260981.4892
290	260957.7454
291	260926.2203
292	260896.0196
293	260872.6025
294	260843.0493
295	260829.0975
296	260813.9268
297	260763.8525
298	260733.9231
299	260712.0804
300	260699.7472
301	260663.9256
302	260647.6228
303	260630.834
304	260599.5448
305	260542.1233
306	260516.6351
307	260492.0722
308	260453.9243
309	260432.3518
310	260407.0889
311	260376.9881
312	260362.7395
313	260307.1868
314	260292.3641
315	260254.63
316	260190.3306
317	260165.8023
318	260147.1155
319	260132.6531
320	260088.3335
321	260065.574
322	260041.4662
323	260022.2875
324	259998.927
325	259966.7706
326	259916.9917
327	259878.0377
328	259849.4787
329	259838.5533
330	259781.2152
331	259759.2475
332	259728.0784
333	259682.5435
334	259669.0573
335	259642.1588
336	259619.0979
337	259592.9996
338	259567.5849
339	259517.4321
340	259499.4314
341	259483.2142
342	259472.7464
343	259416.6353
344	259403.2503
345	259374.4336
346	259356.2645
347	259336.5327
348	259282.416
349	259255.8433
350	259231.5297
351	259178.1224
352	259150.1406
353	259118.6924
354	259072.3074
355	259049.2151
356	258999.1397
357	258955.2451
358	258942.4203
359	258895.4283
360	258883.1397
361	258831.5841
362	258815.6327
363	258746.229
364	258730.5377
365	258705.8675
366	258654.7994
367	258604.6529
368	258577.8998
369	258537.6606
370	258525.6707
371	258508.3474
372	258496.1533
373	258468.9196
374	258454.0517
375	258442.2563
376	258429.9895
377	258398
378	258353.9366
379	258335.5875
380	258316.4951
381	258276.013
382	258243.9501
383	258206.7525
384	258194.6461
385	258175.8443
386	258167.1455
387	258153.1305
388	258131.8924
389	258085.0726
390	258043.4971
391	258025.6636
392	258011.4798
393	257987.5534
394	257969.9854
395	257938.1432
396	257910.0472
397	257864.305
398	257850.5669
399	257821.9519
400	257812.431
401	257785.9682
402	257765.0876
403	257742.7603
404	257723.9813
405	257678.8512
406	257632.5662
407	257619.4111
408	257581.5652
409	257557.2312
410	257536.233
411	257529.3871
412	257520.706
413	257509.0736
414	257489.3291
415	257435.4989
416	257423.3733
417	257407.2104
418	257330.0475
419	257320.664
420	257310.8327
421	257246.6741
422	257222.0674
423	257195.7109
424	257179.7169
425	257154.5263
426	257113.0885
427	257082.3915
428	257035.9149
429	256997.8013
430	256942.2975
431	256919.1592
432	256853.8387
433	256843.1957
434	256818.5202
435	256805.3158
436	256791.4346
437	256773.4189
438	256739.325
439	256712.9764
440	256700.8214
441	256686.2728
442	256646.3801
443	256622.2142
444	256605.7932
445	256584.7507
446	256518.4182
447	256498.2587
448	256469.17
449	256456.643
450	256449.3332
451	256439.031
452	256395.2521
453	256386.491
454	256360.0319
455	256347.3686
456	256337.9219
457	256304.2718
458	256286.7187
459	256251.3236
460	256215.4419
461	256199.7267
462	256168.5104
463	256149.0698
464	256127.2323
465	256109.9355
466	256061.464
467	256027.8622
468	256001.49
469	255959.851
470	255940.8402
471	255917.2599
472	255912.1687
473	255874.3363
474	255860.1935
475	255852.8469
476	255822.1195
477	255811.072
478	255777.5483
479	255768.0695
480	255754.2407
481	255745.817
482	255699.3054
483	255683.4878
484	255626.9296
485	255616.3098
486	255584.5172
487	255549.9101
488	255534.3377
489	255514.6676
490	255493.8537
491	255452.9778
492	255444.1237
493	255411.8314
494	255401.6137
495	255396.1633
496	255373.434
497	255353.8303
498	255312.563
499	255263.7235
500	255234.9808
501	255220.6229
502	255201.2723
503	255181.929
504	255153.3984
505	255120.5323
506	255111.9829
507	255103.5555
508	255066.7081
509	255055.7325
510	255012.3586
511	254985.998
512	254915.0515
513	254884.1148
514	254861.599
515	254851.2838
516	254827.8283
517	254807.2161
518	254797.4161
519	254772.6242
520	254752.7454
521	254728.6942
522	254710.3668
523	254697.3874
524	254680.4248
525	254660.5105
526	254619.9206
527	254580.3811
528	254551.4693
529	254538.2421
530	254531.4971
531	254521.2582
532	254486.027
533	254444.965
534	254414.675
535	254384.2946
536	254374.9804
537	254359.9632
538	254346.5789
539	254333.6804
540	254319.4333
541	254302.0132
542	254266.9001
543	254232.0721
544	254213.5716
545	254192.0008
546	254174.2724
547	254157.6491
548	254137.6173
549	254132.1467
550	254122.5113
551	254095.2075
552	254088.9954
553	254078.0829
554	254067.9439
555	254035.5778
556	254028.6534
557	254020.9984
558	254013.1577
559	253993.074
560	253970.5755
561	253957.548
562	253939.805
563	253896.9885
564	253887.3315
565	253866.6392
566	253844.0282
567	253837.2051
568	253824.9943
569	253818.8533
570	253795.1081
571	253765.2719
572	253723.2551
573	253701.3397
574	253694.5081
575	253669.1986
576	253632.6264
577	253626.2184
578	253602.4133
579	253574.4129
580	253542.3253
581	253513.9528
582	253507.5481
583	253498.5417
584	253492.1974
585	253481.5851
586	253455.7856
587	253422.1556
588	253394.3561
589	253365.4311
590	253349.2626
591	253330.9636
592	253305.3307
593	253266.2332
594	253233.4516
595	253226.5179
596	253187.969
597	253177.3288
598	253148.1042
599	253098.8911
600	253092.8671
601	253068.4405
602	253063.6367
603	253005.0115
604	252952.961
605	252943.0915
606	252896.9604
607	252879.9421
608	252868.6539
609	252843.1452
610	252837.1774
611	252804.6003
612	252789.072
613	252761.6053
614	252755.9445
615	252747.113
616	252716.5513
617	252683.9021
618	252661.7953
619	252651.0831
620	252611.363
621	252602.9757
622	252591.0271
623	252574.4533
624	252566.9514
625	252550.6066
626	252531.1119
627	252505.546
628	252475.4748
629	252464.1568
630	252423.6151
631	252415.3472
632	252370.2008
633	252361.0318
634	252354.1865
635	252346.571
636	252310.8269
637	252305.1211
638	252276.8852
639	252259.4711
640	252251.2784
641	252230.1515
642	252222.5578
643	252193.8985
644	252176.4655
645	252145.463
646	252115.5116
647	252109.2699
648	252099.97
649	252093.0115
650	252077.4613
651	252055.6886
652	252049.5497
653	252037.1009
654	252032.266
655	252012.5115
656	251994.958
657	251989.5414
658	251960.9762
659	251933.4503
660	251921.2723
661	251914.6639
662	251880.0284
663	251865.2025
664	251841.1091
665	251807.4231
666	251778.93
667	251757.6664
668	251744.7553
669	251729.3197
670	251706.6108
671	251692.7377
672	251682.001
673	251655.6118
674	251636.6791
675	251631.353
676	251621.9381
677	251601.4224
678	251583.0198
679	251559.0442
680	251530.425
681	251511.3669
682	251502.4889
683	251491.8072
684	251470.8524
685	251452.0867
686	251432.2053
687	251419.3159
688	251391.9497
689	251385.3151
690	251377.6358
691	251342.1032
692	251327.8682
693	251312.5069
694	251286.4075
695	251249.4551
696	251241.7381
697	251234.0744
698	251229.7447
699	251203.5634
700	251189.3476
701	251173.2551
702	251155.978
703	251148.9285
704	251142.4206
705	251132.9118
706	251118.9045
707	251092.7464
708	251076.8458
709	251064.518
710	251052.1446
711	251045.4009
712	251006.6753
713	250988.1796
714	250982.0682
715	250940.8279
716	250913.5751
717	250899.7017
718	250880.5716
719	250874.5297
720	250870.1585
721	250854.1544
722	250838.3089
723	250833.4989
724	250808.9143
725	250787.4684
726	250760.5635
727	250725.0419
728	250704.1825
729	250688.9986
730	250659.2582
731	250647.9021
732	250623.4415
733	250603.146
734	250596.8038
735	250577.9968
736	250557.3454
737	250538.4878
738	250532.5833
739	250506.9466
740	250494.7938
741	250483.659
742	250470.0352
743	250461.9933
744	250435.9328
745	250420.2397
746	250415.7039
747	250398.5522
748	250378.5882
749	250366.9342
750	250360.343
751	250354.4639
752	250336.933
753	250330.5496
754	250325.2909
755	250312.2932
756	250291.1633
757	250285.0571
758	250270.1014
759	250243.8747
760	250223.5786
761	250198.5535
762	250191.9098
763	250186.2035
764	250153.2854
765	250138.379
766	250120.5426
767	250112.9422
768	250105.9437
769	250083.318
770	250076.5952
771	250058.4176
772	250043.9698
773	250032.8595
774	250003.6272
775	249987.6665
776	249963.9851
777	249937.2461
778	249925.5481
779	249917.1951
780	249911.1597
781	249898.523
782	249893.5848
783	249875.2423
784	249868.1632
785	249853.251
786	249842.1063
787	249819.1588
788	249801.0754
789	249789.7057
790	249773.0369
791	249758.5172
792	249746.7898
793	249723.2626
794	249714.3906
795	249691.7883
796	249687.925
797	249682.9268
798	249677.8255
799	249663.9707
800	249629.5578
801	249606.0886
802	249586.1591
803	249564.3391
804	249547.7442
805	249531.9206
806	249518.8834
807	249506.6435
808	249489.9162
809	249486.3663
810	249470.2096
811	249454.1434
812	249450.2097
813	249440.1818
814	249432.8832
815	249417.9812
816	249413.3343
817	249391.991
818	249371.267
819	249342.9573
820	249336.2011
821	249315.5656
822	249304.4425
823	249291.4332
824	249281.0683
825	249270.7561
826	249257.8091
827	249247.3283
828	249242.8493
829	249230.995
830	249200.5693
831	249195.2641
832	249191.9123
833	249185.5367
834	249178.9119
835	249174.5635
836	249161.2475
837	249147.568
838	249135.3835
839	249112.9212
840	249100.9104
841	249089.7932
842	249078.7225
843	249052.4324
844	249027.729
845	249022.1186
846	248983.0542
847	248950.6384
848	248929.5988
849	248920.7099
850	248915.2154
851	248909.4533
852	248885.0095
853	248875.9807
854	248868.9054
855	248857.2902
856	248852.257
857	248830.6456
858	248821.3973
859	248817.957
860	248808.5928
861	248800.1197
862	248787.4295
863	248778.6223
864	248763.3476
865	248753.632
866	248737.9802
867	248717.3929
868	248702.0781
869	248693.124
870	248671.4785
871	248666.4837
872	248660.2747
873	248652.8231
874	248646.4621
875	248640.5005
876	248627.1777
877	248620.2317
878	248602.6669
879	248577.6088
880	248570.7863
881	248565.0676
882	248554.1096
883	248541.2807
884	248512.1945
885	248497.4343
886	248473.9616
887	248469.325
888	248456.8174
889	248420.9498
890	248416.2214
891	248373.8773
892	248364.0964
893	248350.2433
894	248342.4177
895	248310.8066
896	248301.4701
897	248288.4963
898	248274.0737
899	248260.1211
900	248250.4248
901	248231.0593
902	248220.628
903	248196.2467
904	248176.4378
905	248169.206
906	248157.885
907	248129.6547
908	248118.488
909	248111.8084
910	248090.4951
911	248077.1015
912	248070.7767
913	248035.5538
914	248029.1297
915	248004.3205
916	247999.1414
917	247990.6361
918	247975.7237
919	247965.2953
920	247948.4201
921	247927.9143
922	247914.8622
923	247911.837
924	247906.2921
925	247897.9463
926	247889.2388
927	247884.6511
928	247863.052
929	247854.3171
930	247831.3333
931	247803.4692
932	247799.8221
933	247792.0151
934	247782.2652
935	247741.0568
936	247732.6944
937	247728.0521
938	247713.7891
939	247673.8693
940	247637.3571
941	247606.0617
942	247598.2793
943	247577.6751
944	247569.3061
945	247546.2473
946	247514.1429
947	247503.7151
948	247474.4713
949	247450.273
950	247445.1832
951	247441.0668
952	247432.0168
953	247422.3327
954	247406.6924
955	247381.2688
956	247376.2443
957	247369.2918
958	247355.8165
959	247344.5579
960	247340.4011
961	247335.1147
962	247329.9571
963	247318.5635
964	247309.1109
965	247297.3193
966	247282.6477
967	247263.0372
968	247258.1369
969	247251.0841
970	247245.736
971	247220.8931
972	247200.5217
973	247184.7861
974	247163.6636
975	247155.9731
976	247150.2585
977	247134.9366
978	247128.3116
979	247119.5835
980	247082.7375
981	247068.3857
982	247032.3833
983	247028.0297
984	247016.849
985	246980.6697
986	246967.0724
987	246955.0454
988	246946.9743
989	246921.3267
990	246890.0981
991	246856.4854
992	246850.9227
993	246839.879
994	246806.8933
995	246797.5129
996	246782.4369
997	246772.2683
998	246769.3598
999	246753.1204
