iter	Passed	Remaining
0	5	5884
1	9	4983
2	13	4623
3	17	4435
4	22	4476
5	26	4357
6	30	4333
7	34	4334
8	39	4318
9	42	4254
10	46	4165
11	52	4297
12	56	4261
13	59	4207
14	63	4160
15	66	4108
16	70	4092
17	74	4050
18	77	4024
19	81	3986
20	84	3959
21	88	3926
22	91	3891
23	95	3870
24	98	3852
25	103	3861
26	106	3853
27	110	3841
28	114	3822
29	117	3808
30	121	3801
31	125	3809
32	129	3794
33	133	3783
34	137	3791
35	141	3786
36	145	3775
37	148	3764
38	152	3762
39	156	3752
40	159	3742
41	163	3735
42	167	3738
43	171	3729
44	175	3718
45	178	3709
46	183	3711
47	186	3703
48	190	3695
49	194	3687
50	198	3686
51	201	3680
52	205	3672
53	209	3662
54	213	3670
55	217	3664
56	220	3656
57	224	3644
58	228	3639
59	232	3639
60	236	3633
61	239	3627
62	243	3620
63	247	3620
64	251	3615
65	255	3611
66	258	3605
67	263	3608
68	266	3602
69	270	3593
70	274	3590
71	277	3582
72	281	3575
73	285	3569
74	288	3562
75	292	3553
76	296	3552
77	300	3546
78	303	3542
79	307	3539
80	312	3542
81	315	3535
82	319	3529
83	323	3522
84	327	3523
85	331	3523
86	335	3518
87	338	3512
88	342	3510
89	346	3507
90	350	3502
91	354	3498
92	358	3496
93	362	3489
94	365	3483
95	369	3478
96	373	3475
97	377	3472
98	381	3468
99	384	3463
100	388	3460
101	392	3459
102	396	3457
103	400	3452
104	404	3446
105	408	3445
106	412	3441
107	416	3436
108	420	3438
109	424	3434
110	428	3431
111	433	3433
112	437	3434
113	441	3432
114	445	3430
115	449	3428
116	454	3428
117	458	3425
118	462	3423
119	466	3421
120	470	3421
121	475	3418
122	479	3421
123	484	3422
124	489	3423
125	493	3422
126	497	3419
127	502	3420
128	506	3416
129	510	3413
130	514	3411
131	519	3414
132	523	3415
133	528	3413
134	533	3416
135	537	3412
136	541	3409
137	545	3406
138	550	3410
139	554	3407
140	559	3406
141	563	3404
142	567	3400
143	571	3396
144	575	3391
145	579	3387
146	583	3384
147	586	3378
148	590	3373
149	594	3366
150	598	3363
151	601	3358
152	605	3353
153	609	3348
154	613	3346
155	617	3341
156	621	3337
157	625	3334
158	629	3331
159	633	3326
160	637	3324
161	641	3318
162	645	3315
163	649	3310
164	652	3304
165	656	3299
166	661	3297
167	665	3293
168	668	3287
169	672	3281
170	675	3275
171	679	3272
172	683	3268
173	687	3261
174	691	3258
175	695	3254
176	698	3249
177	702	3245
178	706	3240
179	711	3239
180	715	3235
181	718	3230
182	722	3227
183	726	3223
184	730	3218
185	734	3213
186	738	3209
187	742	3206
188	746	3202
189	750	3197
190	753	3192
191	757	3188
192	761	3184
193	765	3179
194	769	3175
195	773	3171
196	776	3167
197	780	3161
198	783	3155
199	787	3150
200	791	3146
201	795	3140
202	798	3136
203	802	3132
204	807	3130
205	811	3127
206	814	3121
207	818	3115
208	822	3114
209	826	3110
210	830	3106
211	834	3102
212	839	3100
213	842	3096
214	846	3091
215	850	3086
216	853	3081
217	857	3076
218	861	3073
219	865	3069
220	869	3065
221	873	3062
222	877	3056
223	880	3051
224	884	3047
225	888	3043
226	892	3038
227	896	3034
228	899	3029
229	903	3025
230	907	3020
231	910	3015
232	915	3012
233	919	3009
234	923	3004
235	927	3002
236	931	2998
237	935	2995
238	939	2993
239	943	2989
240	950	2993
241	954	2990
242	958	2986
243	962	2981
244	966	2979
245	970	2975
246	974	2971
247	978	2966
248	982	2963
249	985	2957
250	989	2952
251	993	2948
252	997	2946
253	1001	2942
254	1005	2939
255	1009	2934
256	1014	2932
257	1018	2928
258	1021	2923
259	1025	2918
260	1030	2917
261	1034	2913
262	1038	2909
263	1042	2905
264	1046	2902
265	1050	2898
266	1054	2893
267	1058	2889
268	1062	2887
269	1066	2884
270	1070	2879
271	1074	2874
272	1078	2872
273	1082	2868
274	1086	2864
275	1090	2860
276	1095	2858
277	1098	2853
278	1102	2849
279	1106	2845
280	1110	2842
281	1114	2838
282	1118	2834
283	1122	2830
284	1127	2828
285	1131	2824
286	1135	2820
287	1138	2815
288	1143	2812
289	1147	2808
290	1150	2804
291	1154	2800
292	1159	2798
293	1164	2795
294	1167	2790
295	1171	2785
296	1175	2782
297	1179	2778
298	1183	2774
299	1187	2770
300	1191	2767
301	1195	2763
302	1200	2760
303	1203	2756
304	1208	2752
305	1211	2748
306	1215	2744
307	1219	2741
308	1224	2737
309	1228	2733
310	1231	2729
311	1236	2725
312	1240	2723
313	1244	2719
314	1248	2715
315	1253	2713
316	1257	2709
317	1261	2705
318	1265	2701
319	1269	2698
320	1273	2694
321	1277	2690
322	1281	2685
323	1285	2682
324	1290	2679
325	1293	2675
326	1297	2670
327	1301	2667
328	1305	2662
329	1309	2657
330	1312	2653
331	1316	2649
332	1320	2645
333	1324	2640
334	1328	2636
335	1332	2632
336	1335	2628
337	1339	2624
338	1343	2620
339	1349	2620
340	1354	2618
341	1359	2614
342	1363	2611
343	1367	2608
344	1371	2604
345	1375	2600
346	1379	2595
347	1383	2592
348	1387	2588
349	1391	2584
350	1395	2580
351	1400	2577
352	1403	2573
353	1408	2569
354	1412	2565
355	1416	2561
356	1420	2557
357	1423	2553
358	1427	2548
359	1432	2545
360	1435	2541
361	1439	2537
362	1444	2534
363	1448	2531
364	1452	2526
365	1456	2523
366	1460	2519
367	1464	2515
368	1468	2510
369	1472	2506
370	1475	2502
371	1480	2498
372	1484	2494
373	1488	2491
374	1492	2487
375	1496	2482
376	1499	2478
377	1503	2474
378	1507	2470
379	1512	2466
380	1515	2462
381	1519	2458
382	1523	2453
383	1527	2450
384	1531	2446
385	1535	2442
386	1539	2438
387	1543	2434
388	1547	2431
389	1551	2426
390	1555	2422
391	1559	2419
392	1563	2415
393	1567	2410
394	1571	2406
395	1575	2403
396	1579	2399
397	1583	2395
398	1587	2391
399	1591	2387
400	1595	2383
401	1599	2378
402	1602	2374
403	1606	2370
404	1610	2366
405	1614	2362
406	1618	2357
407	1621	2353
408	1625	2348
409	1629	2345
410	1633	2340
411	1637	2336
412	1641	2333
413	1645	2329
414	1650	2326
415	1655	2323
416	1658	2319
417	1662	2315
418	1666	2311
419	1670	2306
420	1674	2302
421	1678	2298
422	1682	2294
423	1686	2290
424	1690	2287
425	1694	2282
426	1698	2279
427	1702	2275
428	1706	2271
429	1710	2267
