,price,bedrooms,bathrooms,sqft_living,floors,waterfront,view,grade,sqft_above,sqft_basement,yr_built,yr_renovated,sqft_living15,sqft_lot15
0,221900.0,3,1.0,1180.0,1,0,0,7,1180,0,1955,0,1340,5650
1,538000.0,3,2.25,2570.0,2,0,0,7,2170,400,1951,1991,1690,7639
2,180000.0,2,1.0,770.0,1,0,0,6,770,0,1933,0,2720,8062
3,604000.0,4,3.0,1960.0,1,0,0,7,1050,910,1965,0,1360,5000
4,510000.0,3,2.0,1680.0,1,0,0,8,1680,0,1987,0,1800,7503
5,1225000.0,4,4.5,5420.0,1,0,0,11,3890,1530,2001,0,4760,101930
6,257500.0,3,2.25,1715.0,2,0,0,7,1715,0,1995,0,2238,6819
7,291850.0,3,1.5,1060.0,1,0,0,7,1060,0,1963,0,1650,9711
8,229500.0,3,1.0,1780.0,1,0,0,7,1050,730,1960,0,1780,8113
9,323000.0,3,2.5,1890.0,2,0,0,7,1890,0,2003,0,2390,7570
10,662500.0,3,2.5,3560.0,1,0,0,8,1860,1700,1965,0,2210,8925
11,468000.0,2,1.0,1160.0,1,0,0,7,860,300,1942,0,1330,6000
12,310000.0,3,1.0,1430.0,1,0,0,7,1430,0,1927,0,1780,12697
13,400000.0,3,1.75,1370.0,1,0,0,7,1370,0,1977,0,1370,10208
14,530000.0,5,2.0,1810.0,1,0,0,7,1810,0,1900,0,1360,4850
15,650000.0,4,3.0,2950.0,2,0,3,9,1980,970,1979,0,2140,4000
16,395000.0,3,2.0,1890.0,2,0,0,7,1890,0,1994,0,1890,14018
17,485000.0,4,1.0,1600.0,1,0,0,7,1600,0,1916,0,1610,4300
18,189000.0,2,1.0,1200.0,1,0,0,7,1200,0,1921,0,1060,5095
19,230000.0,3,1.0,1250.0,1,0,0,7,1250,0,1969,0,1280,8850
20,385000.0,4,1.75,1620.0,1,0,0,7,860,760,1947,0,1400,4980
21,2000000.0,3,2.75,3050.0,1,0,4,9,2330,720,1968,0,4110,20336
22,285000.0,5,2.5,2270.0,2,0,0,8,2270,0,1995,0,2240,7005
23,252700.0,2,1.5,1070.0,1,0,0,7,1070,0,1985,0,1220,8386
24,329000.0,3,2.25,2450.0,2,0,0,8,2450,0,1985,0,2200,6865
25,233000.0,3,2.0,1710.0,1,0,0,6,1710,0,1941,0,1030,4705
26,937000.0,3,1.75,2450.0,2,0,0,8,1750,700,1915,0,1760,3573
27,667000.0,3,1.0,1400.0,1,0,0,8,1400,0,1909,0,1860,3861
28,438000.0,3,1.75,1520.0,1,0,0,7,790,730,1948,0,1520,6235
29,719000.0,4,2.5,2570.0,2,0,0,8,2570,0,2005,0,2630,6026
30,580500.0,3,2.5,2320.0,2,0,0,8,2320,0,2003,0,2580,3980
31,280000.0,2,1.5,1190.0,3,0,0,7,1190,0,2005,0,1390,1756
32,687500.0,4,1.75,2330.0,1,0,0,7,1510,820,1929,0,1460,5000
33,535000.0,3,1.0,1090.0,1,0,0,8,1090,0,1929,0,1570,5080
34,322500.0,4,2.75,2060.0,1,0,0,7,1280,780,1981,0,2020,8720
35,696000.0,3,2.5,2300.0,1,0,0,8,1510,790,1930,2002,1590,3264
36,550000.0,4,1.0,1660.0,1,0,0,5,930,730,1933,0,2160,11467
37,640000.0,4,2.0,2360.0,2,0,0,8,2360,0,1904,0,1730,4700
38,240000.0,4,1.0,1220.0,1,0,0,7,890,330,1969,0,1290,7800
39,605000.0,4,2.5,2620.0,2,0,0,8,2620,0,1996,0,2620,11884
40,625000.0,4,2.5,2570.0,2,0,0,9,2570,0,2000,0,2470,5669
41,775000.0,4,2.25,4220.0,1,0,0,8,2600,1620,1984,0,2410,30617
42,861990.0,5,2.75,3595.0,2,0,0,9,3595,0,2014,0,3625,5639
43,685000.0,3,1.0,1570.0,2,0,0,7,1570,0,1922,0,1580,2640
44,309000.0,3,1.0,1280.0,1,0,0,6,920,360,1959,0,1340,8808
45,488000.0,3,2.5,3160.0,2,0,0,8,3160,0,2003,0,3050,9232
46,210490.0,3,1.0,990.0,1,0,0,6,990,0,1966,0,1228,8840
47,785000.0,4,2.5,2290.0,2,0,0,9,2290,0,1981,0,2680,13685
48,450000.0,3,1.75,1250.0,1,0,0,7,1250,0,1953,0,970,5100
49,1350000.0,3,2.5,2753.0,1,1,2,9,2165,588,1953,0,2680,72513
50,228000.0,3,1.0,1190.0,1,0,0,7,1190,0,1955,0,1190,9364
51,345000.0,5,2.5,3150.0,1,0,0,8,1640,1510,1966,0,1990,9133
52,600000.0,3,1.75,1410.0,1,0,0,7,1000,410,1950,0,1410,4080
53,585000.0,2,1.75,1980.0,1,0,0,7,990,990,1981,0,1480,6738
54,920000.0,5,2.25,2730.0,1,0,0,8,2130,600,1927,0,2730,6000
